City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,geraldton,-28.7667,114.6,24.23,69,75,6.17,AU,1674438671
84,dingle,10.9995,122.6711,26.03,84,100,6.28,PH,1674438671
85,luderitz,-26.6481,15.1594,17.87,88,5,6.65,NA,1674438531
86,bilma,18.6853,12.9164,18.7,15,20,3.01,NE,1674438671
87,necochea,-38.5473,-58.7368,17.13,87,0,3.38,AR,1674438672
88,brae,60.3964,-1.353,8.18,92,100,6.67,GB,1674438672
89,half moon bay,37.4636,-122.4286,14.06,39,0,10.29,US,1674438672
90,adrar,20.5022,-10.0711,15.5,16,0,4.58,MR,1674438673
91,port alfred,-33.5906,26.891,21.21,96,62,3.59,ZA,1674438673
92,sobolevo,54.4299,31.8996,-1.28,93,94,2.84,RU,1674438673
93,kapoeta,4.7717,33.5903,27.51,33,96,3.12,SS,1674438674
94,general roca,-39.0333,-67.5833,28.2,20,1,3.3,AR,1674438675
95,kruisfontein,-34.0033,24.7314,19.94,95,5,1.71,ZA,1674438675
96,kahului,20.8947,-156.47,28.01,64,40,7.72,US,1674438676
97,salalah,17.0151,54.0924,20.06,73,48,1.93,OM,1674438676
98,taksimo,56.3444,114.8794,-31.84,84,100,1.23,RU,1674438676
99,barrow,71.2906,-156.7887,-19.99,77,100,6.17,US,1674438676
100,hasaki,35.7333,140.8333,4.22,88,100,7.18,JP,1674438390
101,monrovia,6.3005,-10.7969,25.86,87,100,3.51,LR,1674438677
102,vao,-22.6667,167.4833,26.33,85,94,8.42,NC,1674438677
103,varzob,38.7737,68.8178,-5.15,81,100,1.64,TJ,1674438678
104,port-gentil,-0.7193,8.7815,27.2,78,67,4.41,GA,1674438678
105,ondangwa,-17.9167,15.95,21.28,78,94,3.28,NA,1674438603
106,batagay-alyta,67.8006,130.4114,-30.27,100,99,0.29,RU,1674438679
107,lompoc,34.6391,-120.4579,13.08,54,0,7.2,US,1674438679
108,narsaq,60.9167,-46.05,-13.65,68,12,3.49,GL,1674438680
109,kodiak,57.79,-152.4072,2.73,93,100,4.63,US,1674438680
110,upernavik,72.7868,-56.1549,-28.1,71,100,5.5,GL,1674438680
111,amberley,39.2048,-84.428,1.14,93,100,0.45,US,1674438681
112,sao filipe,14.8961,-24.4956,20.92,64,24,4.96,CV,1674438422
113,vardo,70.3705,31.1107,-1.01,74,78,10.8,NO,1674438681
114,tagusao,9.1924,117.8141,27.6,70,100,1.95,PH,1674438681
115,kondinskoye,59.6481,67.41,-12.12,94,26,4.06,RU,1674438681
116,iqaluit,63.7506,-68.5145,-20.15,77,100,9.26,CA,1674438682
117,derzhavinsk,51.1,66.3167,-13.96,84,100,4.15,KZ,1674438682
118,tuktoyaktuk,69.4541,-133.0374,-16.0,85,100,3.6,CA,1674438683
119,panjakent,39.4952,67.6093,-6.36,75,100,2.3,TJ,1674438683
120,grootfontein,-19.5667,18.1167,18.76,88,83,1.03,NA,1674438606
121,grindavik,63.8424,-22.4338,0.97,64,75,5.66,IS,1674438526
122,arraial do cabo,-22.9661,-42.0278,23.56,89,97,5.3,BR,1674438684
123,iquique,-20.2208,-70.1431,22.02,81,90,0.53,CL,1674438684
124,hobyo,5.3505,48.5268,24.34,77,25,8.6,SO,1674438684
125,chuy,-33.6971,-53.4616,20.58,81,71,2.34,UY,1674438684
126,saldanha,-33.0117,17.9442,17.03,91,0,5.14,ZA,1674438685
127,broken hill,-31.95,141.4333,29.58,24,2,3.67,AU,1674438670
128,ancud,-41.8697,-73.8203,13.64,88,0,1.42,CL,1674438685
129,zelenoborsk,61.4669,64.0333,-14.24,95,9,2.55,RU,1674438686
130,egvekinot,66.3167,-179.1667,-29.0,81,88,4.92,RU,1674438686
131,tuatapere,-46.1333,167.6833,15.22,52,9,3.85,NZ,1674438686
132,aranos,-24.1333,19.1167,25.4,39,75,5.82,NA,1674438608
133,batangafo,7.3008,18.2833,23.29,21,100,1.98,CF,1674438438
134,emerald,-23.5333,148.1667,28.52,59,39,3.86,AU,1674438642
135,tanete,-3.9443,119.7848,29.46,67,100,2.53,ID,1674438687
136,peterhead,57.5058,-1.7981,5.22,90,100,4.03,GB,1674438687
137,hervey bay,-25.2986,152.8535,26.77,58,1,3.28,AU,1674438403
138,dunmore town,25.5,-76.65,24.63,83,100,6.15,BS,1674438689
139,hilo,19.7297,-155.09,27.93,79,20,4.12,US,1674438689
140,goodlettsville,36.3231,-86.7133,6.21,91,100,3.76,US,1674438689
141,tartus,34.889,35.8866,14.01,63,0,3.46,SY,1674438690
142,port elizabeth,-33.918,25.5701,21.84,92,100,1.03,ZA,1674438690
143,timizart,36.8,4.2667,3.31,95,100,1.33,DZ,1674438691
144,moca,19.5,-70.5,19.03,92,20,3.09,DO,1674438692
145,poya,-21.35,165.15,28.71,75,71,1.74,NC,1674438692
146,soe,-9.8607,124.284,25.83,53,51,2.03,ID,1674438692
147,cidreira,-30.1811,-50.2056,23.48,89,0,2.99,BR,1674438692
148,ilhabela,-23.7781,-45.3581,24.95,89,23,1.96,BR,1674438693
149,coquimbo,-29.9533,-71.3436,16.85,88,20,3.09,CL,1674438693
150,oranjemund,-28.55,16.4333,17.29,91,50,4.04,NA,1674438693
151,port hardy,50.6996,-127.4199,5.1,87,100,6.17,CA,1674438693
152,omboue,-1.5746,9.2618,25.5,85,100,1.77,GA,1674438424
153,olafsvik,64.8945,-23.7142,1.46,53,43,9.79,IS,1674438694
154,mwinilunga,-11.7358,24.4293,15.69,98,93,2.75,ZM,1674438694
155,edd,13.9297,41.6925,23.76,64,64,9.15,ER,1674438694
156,srikakulam,18.3,83.9,19.58,74,15,2.21,IN,1674438444
157,bria,6.5423,21.9863,21.37,26,92,1.46,CF,1674438438
158,rudbar,30.15,62.6,0.27,58,0,3.11,AF,1674438695
159,qaanaaq,77.484,-69.3632,-33.61,68,95,3.36,GL,1674438695
